Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
-0.731	-0.261	-21.858	0.133	0.042	0.002	48.000
-0.034	0.009	-20.342	0.114	0.014	0.031	48.000
-2.759	-0.804	-17.576	0.117	0.109	-0.017	48.000
4.765	1.217	-18.158	0.136	0.062	0.032	304.000
0.450	-0.049	-20.965	0.116	0.104	0.004	425.000
4.242	0.048	-20.055	0.126	0.094	0.014	665.000
1.971	-0.119	-21.877	0.135	0.134	0.031	907.000
3.661	-0.286	-21.499	0.132	0.153	0.006	1222.000
2.321	-0.225	-21.619	0.141	0.175	0.033	1449.000
4.493	-0.023	-21.388	0.133	0.156	0.032	1783.000
2.251	-0.482	-21.094	0.134	0.162	-0.021	2194.000
3.413	0.157	-21.565	0.137	0.182	0.050	2251.000
2.830	-0.625	-22.230	0.136	0.201	0.048	2251.000
4.050	-0.377	-23.450	0.141	0.252	-0.041	3296.000
5.267	-0.292	-22.485	0.154	0.260	0.089	3664.000
1.571	-0.074	-24.599	0.137	0.221	-0.092	4175.000
5.382	-0.815	-23.792	0.140	0.331	0.029	4175.000
3.399	-0.318	-24.623	0.156	0.282	0.055	5301.000
5.465	-0.389	-23.375	0.137	0.326	-0.050	5301.000
2.483	-0.757	-23.423	0.149	0.280	0.058	5301.000
1.773	0.114	-23.814	0.144	0.287	-0.006	6295.000
0.995	0.454	-23.289	0.146	0.251	0.021	6712.000
0.715	-0.284	-22.466	0.137	0.274	0.010	6927.000
2.616	0.122	-22.577	0.134	0.302	0.045	7177.000
1.358	-0.261	-21.752	0.120	0.329	0.003	7177.000
3.586	0.258	-20.447	0.127	0.308	0.027	7538.000
2.579	-0.554	-19.842	0.127	0.324	0.010	7668.000
1.565	-1.820	-20.316	0.116	0.360	0.030	7844.000
6.208	-0.089	-17.608	0.120	0.226	0.029	7889.000
1.506	-0.304	-18.984	0.117	0.313	0.005	7960.000
1.062	-0.372	-17.524	0.112	0.271	0.024	7960.000
3.216	-0.093	-17.659	0.111	0.274	0.001	8000.000
0.398	0.020	-19.716	0.113	0.280	0.004	7998.000
2.779	-0.714	-17.645	0.125	0.229	-0.013	7998.000
1.807	-0.040	-17.494	0.125	0.187	-0.027	7840.000
-1.696	-0.706	-19.456	0.108	0.217	-0.014	7699.000
-2.770	-0.327	-16.541	0.119	0.121	-0.025	7699.000
-2.183	-0.088	-16.900	0.114	0.146	-0.007	7398.000
-4.658	-0.430	-18.251	0.108	0.144	-0.022	7125.000
-1.830	-0.326	-17.880	0.109	0.129	-0.024	6882.000
-3.197	-0.501	-19.373	0.116	0.153	-0.012	6732.000
-1.640	-0.062	-18.025	0.119	0.139	-0.001	6312.000
-2.451	-0.009	-18.365	0.115	0.127	-0.001	5935.000
-0.908	0.278	-19.108	0.124	0.120	-0.077	5821.000
-3.043	-0.454	-18.614	0.123	0.103	0.067	5376.000
-3.178	-0.315	-19.704	0.115	0.122	-0.111	5376.000
-0.726	0.366	-18.984	0.123	0.125	0.084	4330.000
-1.121	-1.051	-17.874	0.105	0.100	-0.085	3836.000
